zfin_id,zfin_symbol,zfin_name
ZDB-GENE-030131-7696,get1,guided entry of tail-anchored proteins factor 1
ZDB-GENE-030131-7715,cox6a1,cytochrome c oxidase subunit 6A1
ZDB-GENE-030131-774,cth,cystathionase (cystathionine gamma-lyase)
ZDB-GENE-030131-7742,sod2,"superoxide dismutase 2, mitochondrial"
ZDB-GENE-030131-7753,vps36,vacuolar protein sorting 36 homolog
ZDB-GENE-030131-7754,tbc1d10b,"TBC1 domain family, member 10b"
ZDB-GENE-030131-7762,naa38,"N-alpha-acetyltransferase 38, NatC auxiliary subunit"
ZDB-GENE-030131-7773,gas6,growth arrest-specific 6
ZDB-GENE-030131-778,pola2,"polymerase (DNA directed), alpha 2"
ZDB-GENE-030131-7781,lrrfip2,leucine rich repeat (in FLII) interacting protein 2
ZDB-GENE-030131-7785,tsc22d1,"TSC22 domain family, member 1"
ZDB-GENE-030131-7797,chpf2,chondroitin polymerizing factor 2
ZDB-GENE-030131-780,cdh15,"cadherin 15, type 1, M-cadherin (myotubule)"
ZDB-GENE-030131-7802,fasn,fatty acid synthase
ZDB-GENE-030131-7828,kdm1a,lysine (K)-specific demethylase 1a
ZDB-GENE-030131-7832,emsy,"EMSY transcriptional repressor, BRCA2 interacting"
ZDB-GENE-030131-7839,htr6,5-hydroxytryptamine (serotonin) receptor 6
ZDB-GENE-030131-7844,klf15,Kruppel like factor 15
ZDB-GENE-030131-7850,anp32a,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A"
ZDB-GENE-030131-7859,jun,"Jun proto-oncogene, AP-1 transcription factor subunit"
ZDB-GENE-030131-786,mat2b,methionine adenosyltransferase 2 non-catalytic beta subunit methionine
ZDB-GENE-030131-7860,clpp,caseinolytic mitochondrial matrix peptidase proteolytic subunit
ZDB-GENE-030131-7864,sema3e,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E"
ZDB-GENE-030131-787,sptbn2,"spectrin, beta, non-erythrocytic 2"
ZDB-GENE-030131-7873,csnk1e,"casein kinase 1, epsilon"
ZDB-GENE-030131-7880,osgep,O-sialoglycoprotein endopeptidase
ZDB-GENE-030131-7887,lrpprc,leucine-rich pentatricopeptide repeat containing
ZDB-GENE-030131-7896,cpne2,copine II
ZDB-GENE-030131-7905,ppfia2,PTPRF interacting protein alpha 2
ZDB-GENE-030131-7914,nicol1,NELL2 interacting cell ontogeny regulator 1
ZDB-GENE-030131-7915,srd5a3,steroid 5 alpha-reductase 3
ZDB-GENE-030131-792,ubxn1,UBX domain protein 1
ZDB-GENE-030131-7928,rpn2,ribophorin II
ZDB-GENE-030131-7930,gypc,glycophorin C (Gerbich blood group)
ZDB-GENE-030131-7949,supt6h,"SPT6 homolog, histone chaperone and transcription elongation factor"
ZDB-GENE-030131-7951,rcbtb1,regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1
ZDB-GENE-030131-8003,atl1,atlastin GTPase 1
ZDB-GENE-030131-8004,sema6a,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A"
ZDB-GENE-030131-8005,sdhb,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)"
ZDB-GENE-030131-8015,crebzf,CREB/ATF bZIP transcription factor
ZDB-GENE-030131-8019,dnajc18,"DnaJ (Hsp40) homolog, subfamily C, member 18"
ZDB-GENE-030131-8029,insyn1,inhibitory synaptic factor 1
ZDB-GENE-030131-8032,cul2,cullin 2
ZDB-GENE-030131-8043,trim9,tripartite motif containing 9
ZDB-GENE-030131-8047,ksr2,kinase suppressor of ras 2
ZDB-GENE-030131-8049,tcea1,"transcription elongation factor A (SII), 1"
ZDB-GENE-030131-8060,bnip3,BCL2 interacting protein 3
ZDB-GENE-030131-8062,cox7c,cytochrome c oxidase subunit 7C
ZDB-GENE-030131-8064,nkap,NFKB activating protein
ZDB-GENE-030131-8068,cnot11,"CCR4-NOT transcription complex, subunit 11"
ZDB-GENE-030131-8076,madd,MAP-kinase activating death domain
ZDB-GENE-030131-8078,cd2ap,CD2-associated protein
ZDB-GENE-030131-8089,hapln2,hyaluronan and proteoglycan link protein 2
ZDB-GENE-030131-8093,utp11,UTP11 small subunit processome component
ZDB-GENE-030131-8101,wdr37,WD repeat domain 37
ZDB-GENE-030131-8103,optn,optineurin
ZDB-GENE-030131-8106,npffr1,neuropeptide FF receptor 1
ZDB-GENE-030131-8107,calb1,calbindin 1
ZDB-GENE-030131-8109,myl1,"myosin, light chain 1, alkali; skeletal, fast"
ZDB-GENE-030131-8131,klhl17,kelch-like family member 17
ZDB-GENE-030131-8134,cttnbp2,cortactin binding protein 2
ZDB-GENE-030131-8137,ube2ql1,ubiquitin conjugating enzyme E2 QL1
ZDB-GENE-030131-8142,ppp4r3b,"protein phosphatase 4, regulatory subunit 3B"
ZDB-GENE-030131-8173,tomm70a,translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae)
ZDB-GENE-030131-8179,rbl1,retinoblastoma-like 1 (p107)
ZDB-GENE-030131-8187,slc6a17,solute carrier family 6 member 17
ZDB-GENE-030131-8198,mtrf1l,mitochondrial translational release factor 1-like
ZDB-GENE-030131-8201,nmnat2,nicotinamide nucleotide adenylyltransferase 2
ZDB-GENE-030131-8204,qrich1,glutamine-rich 1
ZDB-GENE-030131-8217,amer3,APC membrane recruitment protein 3
ZDB-GENE-030131-8225,vamp2,vesicle-associated membrane protein 2
ZDB-GENE-030131-8229,rhag,Rh associated glycoprotein
ZDB-GENE-030131-8255,cramp1,cramped chromatin regulator 1
ZDB-GENE-030131-8264,sin3b,SIN3 transcription regulator family member B
ZDB-GENE-030131-8265,gpr88,G protein-coupled receptor 88
ZDB-GENE-030131-8283,sys1,SYS1 golgi trafficking protein
ZDB-GENE-030131-8284,lsm7,"LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated"
ZDB-GENE-030131-8286,taf1c,"TATA-box binding protein associated factor, RNA polymerase I subunit C"
ZDB-GENE-030131-8304,tmsb4x,thymosin beta 4 X-linked
ZDB-GENE-030131-8307,fam162a,family with sequence similarity 162 member A
ZDB-GENE-030131-8312,vps37a,VPS37A subunit of ESCRT-I
ZDB-GENE-030131-8325,cotl1,coactosin-like F-actin binding protein 1
ZDB-GENE-030131-8335,tmed3,transmembrane p24 trafficking protein 3
ZDB-GENE-030131-8364,ndufb9,NADH:ubiquinone oxidoreductase subunit B9
ZDB-GENE-030131-8370,chmp1b,charged multivesicular body protein 1B
ZDB-GENE-030131-8404,trps1,trichorhinophalangeal syndrome I
ZDB-GENE-030131-8405,zfand6,"zinc finger, AN1-type domain 6"
ZDB-GENE-030131-8410,tfg,trafficking from ER to golgi regulator
ZDB-GENE-030131-8414,pak1ip1,PAK1 interacting protein 1
ZDB-GENE-030131-8415,col1a2,"collagen, type I, alpha 2"
ZDB-GENE-030131-8442,eif3d,"eukaryotic translation initiation factor 3, subunit D"
ZDB-GENE-030131-845,vdac2,voltage-dependent anion channel 2
ZDB-GENE-030131-8451,uqcc3,ubiquinol-cytochrome c reductase complex assembly factor 3
ZDB-GENE-030131-8453,lig3,"ligase III, DNA, ATP-dependent"
ZDB-GENE-030131-8461,xpc,"xeroderma pigmentosum, complementation group C"
ZDB-GENE-030131-8462,polr3e,polymerase (RNA) III (DNA directed) polypeptide E
ZDB-GENE-030131-8475,usf2,"upstream transcription factor 2, c-fos interacting"
ZDB-GENE-030131-848,rbbp7,"RB binding protein 7, chromatin remodeling factor"
ZDB-GENE-030131-8485,blmh,bleomycin hydrolase
ZDB-GENE-030131-8494,rps3,ribosomal protein S3
ZDB-GENE-030131-8497,cyb5r1,cytochrome b5 reductase 1
ZDB-GENE-030131-8512,rpl21,ribosomal protein L21
ZDB-GENE-030131-8525,tysnd1,trypsin like peroxisomal matrix peptidase 1
ZDB-GENE-030131-8542,herc1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1
ZDB-GENE-030131-8550,hadhb,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta
ZDB-GENE-030131-8554,ywhaz,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"
ZDB-GENE-030131-8557,cyfip1,cytoplasmic FMR1 interacting protein 1
ZDB-GENE-030131-8561,thy1,Thy-1 cell surface antigen
ZDB-GENE-030131-8569,txndc9,thioredoxin domain containing 9
ZDB-GENE-030131-857,trim69,tripartite motif containing 69
ZDB-GENE-030131-8576,atg3,autophagy related 3
ZDB-GENE-030131-858,stx6,syntaxin 6
ZDB-GENE-030131-8585,rpl17,ribosomal protein L17
ZDB-GENE-030131-8589,dhx16,DEAH (Asp-Glu-Ala-His) box polypeptide 16
ZDB-GENE-030131-8606,rps26,ribosomal protein S26
ZDB-GENE-030131-8623,csde1,"cold shock domain containing E1, RNA-binding"
ZDB-GENE-030131-8631,rps14,ribosomal protein S14
ZDB-GENE-030131-8646,rpl9,ribosomal protein L9
ZDB-GENE-030131-865,gmcl1,"germ cell-less, spermatogenesis associated"
ZDB-GENE-030131-8654,rpl7,ribosomal protein L7
ZDB-GENE-030131-8656,rpl10,ribosomal protein L10
ZDB-GENE-030131-8657,rpl30,ribosomal protein L30
ZDB-GENE-030131-866,fnta,"farnesyltransferase, CAAX box, subunit alpha"
ZDB-GENE-030131-8663,rplp1,ribosomal protein lateral stalk subunit P1
ZDB-GENE-030131-8670,rpl27a,ribosomal protein L27a
ZDB-GENE-030131-8671,rpl6,ribosomal protein L6
ZDB-GENE-030131-868,cnih4,cornichon family member 4
ZDB-GENE-030131-8690,napsa,napsin A aspartic peptidase
ZDB-GENE-030131-8693,rnf38,ring finger protein 38
ZDB-GENE-030131-8708,rps15a,ribosomal protein S15a
ZDB-GENE-030131-8713,l3mbtl2,L3MBTL histone methyl-lysine binding protein 2
ZDB-GENE-030131-8719,ahnak,AHNAK nucleoprotein
ZDB-GENE-030131-872,irs1,insulin receptor substrate 1
ZDB-GENE-030131-8726,ufsp2,ufm1-specific peptidase 2
ZDB-GENE-030131-8731,btf3,basic transcription factor 3
ZDB-GENE-030131-8733,vmp1,vacuole membrane protein 1
ZDB-GENE-030131-8741,serp1,stress-associated endoplasmic reticulum protein 1
ZDB-GENE-030131-8742,ggps1,geranylgeranyl diphosphate synthase 1
ZDB-GENE-030131-8752,rpl38,ribosomal protein L38
ZDB-GENE-030131-8755,ten1,TEN1 subunit of CST complex
ZDB-GENE-030131-8756,rpl23,ribosomal protein L23
ZDB-GENE-030131-8760,elf3,"E74-like factor 3 (ets domain transcription factor, epithelial-specific )"
ZDB-GENE-030131-8764,vps29,VPS29 retromer complex component
ZDB-GENE-030131-8767,drg1,developmentally regulated GTP binding protein 1
ZDB-GENE-030131-8769,znf148,zinc finger protein 148
ZDB-GENE-030131-8778,scarf1,"scavenger receptor class F, member 1"
ZDB-GENE-030131-8783,cdc42,cell division cycle 42
ZDB-GENE-030131-8788,ncln,nicalin
ZDB-GENE-030131-879,pdia6,"protein disulfide isomerase family A, member 6"
ZDB-GENE-030131-8805,tbxas1,thromboxane A synthase 1 (platelet)
ZDB-GENE-030131-8811,sgta,small glutamine rich tetratricopeptide repeat co-chaperone alpha
ZDB-GENE-030131-8820,tollip,toll interacting protein
ZDB-GENE-030131-8832,susd6,sushi domain containing 6
ZDB-GENE-030131-8846,ttc8,tetratricopeptide repeat domain 8
ZDB-GENE-030131-8865,cdc37l1,cell division cycle 37-like 1
ZDB-GENE-030131-8867,med14,mediator complex subunit 14
ZDB-GENE-030131-8871,rin3,Ras and Rab interactor 3
ZDB-GENE-030131-8898,rrp8,ribosomal RNA processing 8
ZDB-GENE-030131-8901,atp5f1c,ATP synthase F1 subunit gamma
ZDB-GENE-030131-8903,mpped2,metallophosphoesterase domain containing 2b
ZDB-GENE-030131-8915,scyl1,"SCY1-like, kinase-like 1"
ZDB-GENE-030131-8921,hagh,hydroxyacylglutathione hydrolase
ZDB-GENE-030131-8928,dnajc21,DnaJ heat shock protein family (Hsp40) member C21
ZDB-GENE-030131-8942,chek2,checkpoint kinase 2
ZDB-GENE-030131-8951,rps12,ribosomal protein S12
ZDB-GENE-030131-8969,sema5a,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A"
ZDB-GENE-030131-8970,ifitm5,interferon induced transmembrane protein 5
ZDB-GENE-030131-8978,timeless,timeless circadian clock
ZDB-GENE-030131-899,acadvl,acyl-CoA dehydrogenase very long chain
ZDB-GENE-030131-9,sparc,"secreted protein, acidic, cysteine-rich (osteonectin)"
ZDB-GENE-030131-900,fbxl5,F-box and leucine-rich repeat protein 5
ZDB-GENE-030131-9008,prkdc,"protein kinase, DNA-activated, catalytic subunit"
ZDB-GENE-030131-9014,rars1,arginyl-tRNA synthetase 1
ZDB-GENE-030131-9020,mpst,mercaptopyruvate sulfurtransferase
ZDB-GENE-030131-9021,sdc3,syndecan 3
ZDB-GENE-030131-9031,zdhhc4,zDHHC palmitoyltransferase 4
ZDB-GENE-030131-9032,tgm1,"transglutaminase 1, K polypeptide"
ZDB-GENE-030131-9034,rpl4,ribosomal protein L4
ZDB-GENE-030131-904,ndc80,NDC80 kinetochore complex component
ZDB-GENE-030131-9045,emc10,ER membrane protein complex subunit 10
ZDB-GENE-030131-9049,mbd2,methyl-CpG binding domain protein 2
ZDB-GENE-030131-9092,rps15,ribosomal protein S15
ZDB-GENE-030131-9093,dpm2,"dolichyl-phosphate mannosyltransferase subunit 2, regulatory"
ZDB-GENE-030131-9100,nol7,nucleolar protein 7
ZDB-GENE-030131-911,septin2,septin 2
ZDB-GENE-030131-9110,il4i1,interleukin 4 induced 1
ZDB-GENE-030131-9116,cpn1,"carboxypeptidase N, polypeptide 1"
ZDB-GENE-030131-9122,smg7,SMG7 nonsense mediated mRNA decay factor
ZDB-GENE-030131-9123,mmp2,matrix metallopeptidase 2
ZDB-GENE-030131-913,ddah2,"DDAH family member 2, ADMA-independent"
ZDB-GENE-030131-9134,ssr3,"signal sequence receptor, gamma"
ZDB-GENE-030131-9136,cox8a,cytochrome c oxidase subunit 8A
ZDB-GENE-030131-9137,setd3,"SET domain containing 3, actin histidine methyltransferase"
ZDB-GENE-030131-9143,rab20,"RAB20, member RAS oncogene family"
ZDB-GENE-030131-9158,tspy,testis specific protein Y-linked
ZDB-GENE-030131-9164,emc6,ER membrane protein complex subunit 6
ZDB-GENE-030131-9169,chid1,chitinase domain containing 1
ZDB-GENE-030131-9174,gars1,glycyl-tRNA synthetase 1
ZDB-GENE-030131-9180,synj1,synaptojanin 1
ZDB-GENE-030131-9181,reep5,receptor accessory protein 5
ZDB-GENE-030131-9184,rps3a,ribosomal protein S3A
ZDB-GENE-030131-9192,aldh6a1,"aldehyde dehydrogenase 6 family, member A1"
ZDB-GENE-030131-921,snx3,sorting nexin 3
ZDB-GENE-030131-9216,pitpnm3,PITPNM family member 3
ZDB-GENE-030131-9242,sulf1,sulfatase 1
ZDB-GENE-030131-9247,cfp,complement factor properdin
ZDB-GENE-030131-925,ddx5,DEAD (Asp-Glu-Ala-Asp) box helicase 5
ZDB-GENE-030131-926,npl,N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)
ZDB-GENE-030131-9260,cdc42se1,CDC42 small effector 1
ZDB-GENE-030131-9261,fgb,fibrinogen beta chain
ZDB-GENE-030131-928,jade3,jade family PHD finger 3
ZDB-GENE-030131-9296,tbcb,tubulin folding cofactor B
ZDB-GENE-030131-9322,alox5ap,arachidonate 5-lipoxygenase-activating protein
ZDB-GENE-030131-9341,ajuba,ajuba LIM protein
ZDB-GENE-030131-9345,rrs1,ribosome biogenesis regulator 1 homolog
ZDB-GENE-030131-9358,bcat1,"branched chain amino-acid transaminase 1, cytosolic"
ZDB-GENE-030131-9359,stat6,"signal transducer and activator of transcription 6, interleukin-4 induced"
ZDB-GENE-030131-9372,ubac1,UBA domain containing 1
ZDB-GENE-030131-938,myo9b,myosin IXb
ZDB-GENE-030131-9382,dennd6b,DENN/MADD domain containing 6B
ZDB-GENE-030131-9385,smg9,SMG9 nonsense mediated mRNA decay factor
ZDB-GENE-030131-9396,synrg,"synergin, gamma"
ZDB-GENE-030131-9399,zc3h3,zinc finger CCCH-type containing 3
ZDB-GENE-030131-940,actn4,"actinin, alpha 4"
ZDB-GENE-030131-9407,nup35,nucleoporin 35
ZDB-GENE-030131-9414,rnf19a,"ring finger protein 19A, RBR E3 ubiquitin protein ligase"
ZDB-GENE-030131-9425,nrip2,nuclear receptor interacting protein 2
ZDB-GENE-030131-9438,dmtn,dematin actin binding protein
ZDB-GENE-030131-9439,lnx1,ligand of numb-protein X 1
ZDB-GENE-030131-9444,pepd,peptidase D
ZDB-GENE-030131-9446,sik1,salt-inducible kinase 1
ZDB-GENE-030131-9447,stard8,StAR related lipid transfer domain containing 8
ZDB-GENE-030131-945,lztfl1,leucine zipper transcription factor-like 1
ZDB-GENE-030131-9455,lnpk,"lunapark, ER junction formation factor"
ZDB-GENE-030131-947,bhmt,betaine-homocysteine methyltransferase
ZDB-GENE-030131-9473,smug1,single-strand-selective monofunctional uracil-DNA glycosylase 1
ZDB-GENE-030131-9475,snx17,sorting nexin 17
ZDB-GENE-030131-95,nppa,natriuretic peptide A
ZDB-GENE-030131-9505,slc12a3,solute carrier family 12 member 3
ZDB-GENE-030131-9511,dcaf7,ddb1 and cul4 associated factor 7
ZDB-GENE-030131-9512,coro1a,"coronin, actin binding protein, 1A"
ZDB-GENE-030131-9520,nfatc2ip,nuclear factor of activated T cells 2 interacting protein
ZDB-GENE-030131-9531,relb,"RELB proto-oncogene, NF-kB subunit"
ZDB-GENE-030131-9532,plcg2,"phospholipase C, gamma 2"
ZDB-GENE-030131-9536,reps1,RALBP1 associated Eps domain containing 1
ZDB-GENE-030131-9542,rhbg,Rh family B glycoprotein
ZDB-GENE-030131-9544,mcm4,minichromosome maintenance complex component 4
ZDB-GENE-030131-9549,wdr44,WD repeat domain 44
ZDB-GENE-030131-955,eif2b4,"eukaryotic translation initiation factor 2B, subunit 4 delta"
ZDB-GENE-030131-956,eif1,eukaryotic translation initiation factor 1
ZDB-GENE-030131-9563,ces3,carboxylesterase 3
ZDB-GENE-030131-9564,lztr1,leucine zipper like post translational regulator 1
ZDB-GENE-030131-9582,mbnl2,muscleblind-like splicing regulator 2
ZDB-GENE-030131-960,ik,IK cytokine
ZDB-GENE-030131-9612,rbm47,RNA binding motif protein 47
ZDB-GENE-030131-9613,znf592,zinc finger protein 592
ZDB-GENE-030131-9636,pikfyve,"phosphoinositide kinase, FYVE finger containing"
ZDB-GENE-030131-9638,bsg,basigin
ZDB-GENE-030131-9643,ftcd,formimidoyltransferase cyclodeaminase
ZDB-GENE-030131-9646,aif1l,allograft inflammatory factor 1-like
ZDB-GENE-030131-9652,tpx2,TPX2 microtubule nucleation factor
ZDB-GENE-030131-9654,aatf,apoptosis antagonizing transcription factor
ZDB-GENE-030131-9659,slc38a2,solute carrier family 38 member 2
ZDB-GENE-030131-966,usp39,ubiquitin specific peptidase 39
ZDB-GENE-030131-9662,rap1b,"RAP1B, member of RAS oncogene family"
ZDB-GENE-030131-9663,pabpc4,"poly(A) binding protein, cytoplasmic 4 (inducible form)"
ZDB-GENE-030131-967,smarce1,SWI/SNF related BAF chromatin remodeling complex subunit E1
ZDB-GENE-030131-9676,mcmbp,minichromosome maintenance complex binding protein
ZDB-GENE-030131-9685,ddx18,DEAD (Asp-Glu-Ala-Asp) box polypeptide 18
ZDB-GENE-030131-9686,slbp,stem-loop histone mRNA binding protein
ZDB-GENE-030131-9687,rtca,RNA 3'-terminal phosphate cyclase
ZDB-GENE-030131-9691,nop14,NOP14 nucleolar protein homolog (yeast)
ZDB-GENE-030131-9710,yap1,Yes1 associated transcriptional regulator
ZDB-GENE-030131-9735,angptl6,angiopoietin-like 6
ZDB-GENE-030131-9745,thumpd3,THUMP domain containing 3
ZDB-GENE-030131-9748,tacc2,"transforming, acidic coiled-coil containing protein 2"
ZDB-GENE-030131-975,eif5,eukaryotic translation initiation factor 5
ZDB-GENE-030131-9751,rrp36,ribosomal RNA processing 36
ZDB-GENE-030131-9762,paics,"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase"
ZDB-GENE-030131-977,cct5,"chaperonin containing TCP1, subunit 5 (epsilon)"
ZDB-GENE-030131-9771,mki67,marker of proliferation Ki-67
ZDB-GENE-030131-9786,col9a2,"procollagen, type IX, alpha 2"
ZDB-GENE-030131-9787,cercam,cerebral endothelial cell adhesion molecule
ZDB-GENE-030131-9788,frem3,Fras1 related extracellular matrix 3
ZDB-GENE-030131-9790,abca12,"ATP-binding cassette, sub-family A (ABC1), member 12"
ZDB-GENE-030131-9793,pigq,"phosphatidylinositol glycan anchor biosynthesis, class Q"
ZDB-GENE-030131-9799,col9a3,"collagen, type IX, alpha 3"
ZDB-GENE-030131-9801,hkdc1,hexokinase domain containing 1
ZDB-GENE-030131-9807,colec12,collectin sub-family member 12
ZDB-GENE-030131-9808,pum3,pumilio RNA-binding family member 3
ZDB-GENE-030131-9810,tomm22,translocase of outer mitochondrial membrane 22 homolog (yeast)
ZDB-GENE-030131-9814,rspo3,R-spondin 3
ZDB-GENE-030131-9823,lama5,"laminin, alpha 5"
ZDB-GENE-030131-9824,esrp2,epithelial splicing regulatory protein 2
ZDB-GENE-030131-9827,depdc1a,DEP domain containing 1a
ZDB-GENE-030131-9828,ftsj3,FtsJ RNA 2'-O-methyltransferase 3
ZDB-GENE-030131-9830,wdr3,WD repeat domain 3
ZDB-GENE-030131-9831,ctsf,cathepsin F
ZDB-GENE-030131-9833,trip11,thyroid hormone receptor interactor 11
ZDB-GENE-030131-9834,ptprk,protein tyrosine phosphatase receptor type K
ZDB-GENE-030131-9837,rrp1,ribosomal RNA processing 1
ZDB-GENE-030131-9839,rgs4,regulator of G protein signaling 4
ZDB-GENE-030131-9845,slc26a10,solute carrier family 26 member 10
ZDB-GENE-030131-9848,jph2,junctophilin 2
ZDB-GENE-030131-9854,grhl3,grainyhead-like transcription factor 3
ZDB-GENE-030131-9856,rep15,RAB15 effector protein
ZDB-GENE-030131-9858,pprc1,PPARG related coactivator 1
ZDB-GENE-030131-9864,mybbp1a,MYB binding protein (P160) 1a
ZDB-GENE-030131-9870,apeh,acylaminoacyl-peptide hydrolase
ZDB-GENE-030131-9877,llgl2,LLGL scribble cell polarity complex component 2
ZDB-GENE-030131-9878,noc3l,NOC3-like DNA replication regulator
ZDB-GENE-030131-988,sem1,SEM1 26S proteasome subunit
ZDB-GENE-030131-9881,tbc1d4,"TBC1 domain family, member 4"
ZDB-GENE-030131-9884,cpox,coproporphyrinogen oxidase
ZDB-GENE-030131-9885,ugcg,UDP-glucose ceramide glucosyltransferase
ZDB-GENE-030131-9906,lmbr1l,limb development membrane protein 1-like
ZDB-GENE-030131-9909,sipa1l1,signal-induced proliferation-associated 1 like 1
ZDB-GENE-030131-9917,slc39a1,solute carrier family 39 member 1
ZDB-GENE-030131-9923,hells,"helicase, lymphoid specific"
ZDB-GENE-030131-9927,rhpn2,"rhophilin, Rho GTPase binding protein 2"
ZDB-GENE-030131-993,tmem177,transmembrane protein 177
ZDB-GENE-030131-9966,gng5,"guanine nucleotide binding protein (G protein), gamma 5"
ZDB-GENE-030131-9975,dact2,dishevelled-binding antagonist of beta-catenin 2
ZDB-GENE-030219-10,atpaf1,ATP synthase mitochondrial F1 complex assembly factor 1
ZDB-GENE-030219-100,dph2,diphthamide biosynthesis 2
ZDB-GENE-030219-104,tfdp2,transcription factor Dp-2
ZDB-GENE-030219-109,bop1,BOP1 ribosomal biogenesis factor
ZDB-GENE-030219-11,srpra,SRP receptor subunit alpha
ZDB-GENE-030219-130,unc119b,unc-119 lipid binding chaperone B
ZDB-GENE-030219-132,usp10,ubiquitin specific peptidase 10
ZDB-GENE-030219-146,bmper,BMP binding endothelial regulator
ZDB-GENE-030219-158,skp2,"S-phase kinase-associated protein 2, E3 ubiquitin protein ligase"
ZDB-GENE-030219-181,creb3l1,cAMP responsive element binding protein 3-like 1
ZDB-GENE-030219-193,aff3,"AF4/FMR2 family, member 3"
ZDB-GENE-030219-38,copb1,COPI coat complex subunit beta 1
ZDB-GENE-030219-43,nat16,N-acetyltransferase 16
ZDB-GENE-030219-55,hspbp1,"HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1"
ZDB-GENE-030219-83,mars1,methionyl-tRNA synthetase 1
ZDB-GENE-030219-90,bbs7,Bardet-Biedl syndrome 7
ZDB-GENE-030311-1,selenop,selenoprotein P
ZDB-GENE-030313-1,rapsn,"receptor-associated protein of the synapse, 43kD"
ZDB-GENE-030318-2,chm,CHM Rab escort protein
ZDB-GENE-030319-1,p2rx1,"purinergic receptor P2X, ligand-gated ion channel, 1"
ZDB-GENE-030319-2,p2rx2,"purinergic receptor P2X, ligand-gated ion channel, 2"
ZDB-GENE-030319-5,p2rx5,"purinergic receptor P2X, ligand-gated ion channel, 5"
ZDB-GENE-030319-6,p2rx7,"purinergic receptor P2X, ligand-gated ion channel, 7"
ZDB-GENE-030321-1,gli1,GLI family zinc finger 1
ZDB-GENE-030323-1,fgfr2,fibroblast growth factor receptor 2
ZDB-GENE-030326-1,dlst,dihydrolipoamide S-succinyltransferase
ZDB-GENE-030326-2,prdx2,peroxiredoxin 2
ZDB-GENE-030326-3,clic4,chloride intracellular channel 4
ZDB-GENE-030326-4,hspb1,"heat shock protein, alpha-crystallin-related, 1"
ZDB-GENE-030326-6,snai2,snail family zinc finger 2
ZDB-GENE-030327-1,selenof,selenoprotein F
ZDB-GENE-030327-4,dio2,iodothyronine deiodinase 2
ZDB-GENE-030327-7,selenon,selenoprotein N
ZDB-GENE-030328-21,etnk1,ethanolamine kinase 1
ZDB-GENE-030328-29,cars1,cysteinyl-tRNA synthetase 1
ZDB-GENE-030328-39,pik3c2a,"phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 alpha"
ZDB-GENE-030328-41,dio1,iodothyronine deiodinase 1
ZDB-GENE-030404-2,mib1,MIB E3 ubiquitin protein ligase 1
ZDB-GENE-030407-1,oxt,oxytocin
ZDB-GENE-030407-2,avp,arginine vasopressin
ZDB-GENE-030408-3,npas2,neuronal PAS domain protein 2
ZDB-GENE-030408-4,ktn1,kinectin 1
ZDB-GENE-030408-5,bcas2,BCAS2 pre-mRNA processing factor
ZDB-GENE-030410-4,selenom,selenoprotein M
ZDB-GENE-030411-2,selenoh,selenoprotein H
ZDB-GENE-030411-5,krt8,keratin 8
ZDB-GENE-030421-3,plcg1,"phospholipase C, gamma 1"
ZDB-GENE-030424-4,kmo,kynurenine 3-monooxygenase
ZDB-GENE-030425-1,bin1b,bridging integrator 1b
ZDB-GENE-030425-2,yars1,tyrosyl-tRNA synthetase 1
ZDB-GENE-030429-10,zbtb10,zinc finger and BTB domain containing 10
ZDB-GENE-030429-12,ccnb2,cyclin B2
ZDB-GENE-030429-30,gmnn,geminin DNA replication inhibitor
ZDB-GENE-030429-9,golgb1,golgin B1
ZDB-GENE-030502-1,mc1r,melanocortin 1 receptor
ZDB-GENE-030502-2,mc2r,melanocortin 2 receptor
ZDB-GENE-030502-3,mc3r,melanocortin 3 receptor
ZDB-GENE-030505-1,foxi1,forkhead box i1
ZDB-GENE-030513-1,prl,prolactin
ZDB-GENE-030515-1,rab40c,"RAB40c, member RAS oncogene family"
ZDB-GENE-030515-2,pinx1,PIN2 (TERF1) interacting telomerase inhibitor 1
ZDB-GENE-030515-3,mad2l1,MAD2 mitotic arrest deficient-like 1 (yeast)
ZDB-GENE-030516-1,gnrh2,gonadotropin-releasing hormone 2
ZDB-GENE-030516-2,nap1l1,nucleosome assembly protein 1-like 1
ZDB-GENE-030516-4,ypel3,yippee-like 3
