zfin_id,zfin_symbol,zfin_name
ZDB-GENE-001228-2,s1pr1,sphingosine-1-phosphate receptor 1
ZDB-GENE-001229-1,alas2,"aminolevulinate, delta-, synthase 2"
ZDB-GENE-001229-2,alas1,"aminolevulinate, delta-, synthase 1"
ZDB-GENE-010102-1,dcn,decorin
ZDB-GENE-010110-1,hsd17b8,hydroxysteroid (17-beta) dehydrogenase 8
ZDB-GENE-010110-3,daxx,death-domain associated protein
ZDB-GENE-010110-4,zbtb22b,zinc finger and BTB domain containing 22b
ZDB-GENE-010125-1,oprm1,"opioid receptor, mu 1"
ZDB-GENE-010129-1,klf17,Kruppel like factor 17
ZDB-GENE-010131-1,rgl2,ral guanine nucleotide dissociation stimulator-like 2
ZDB-GENE-010131-2,cdk5,cyclin dependent kinase 5
ZDB-GENE-010131-3,rpa2,replication protein A2
ZDB-GENE-010131-7,prss1,serine protease 1
ZDB-GENE-010131-8,ctsd,cathepsin D
ZDB-GENE-010201-3,six5,SIX homeobox 5
ZDB-GENE-010202-3,map2k6,mitogen-activated protein kinase kinase 6
ZDB-GENE-010306-3,slit2,slit homolog 2 (Drosophila)
ZDB-GENE-010306-4,slit3,slit homolog 3 (Drosophila)
ZDB-GENE-010316-1,slc6a3,solute carrier family 6 member 3
ZDB-GENE-010319-27,ttc7a,tetratricopeptide repeat domain 7A
ZDB-GENE-010319-31,siah1,siah E3 ubiquitin protein ligase 1
ZDB-GENE-010320-1,cdk1,cyclin dependent kinase 1
ZDB-GENE-010320-2,cdk7,cyclin-dependent kinase 7
ZDB-GENE-010323-11,enah,ENAH actin regulator
ZDB-GENE-010328-11,cldn1,claudin 1
ZDB-GENE-010328-14,cldn12,claudin 12
ZDB-GENE-010328-15,hip1,huntingtin interacting protein 1
ZDB-GENE-010328-16,baz1b,"bromodomain adjacent to zinc finger domain, 1B"
ZDB-GENE-010328-18,gtf2ird1,GTF2I repeat domain containing 1
ZDB-GENE-010328-19,eif4h,eukaryotic translation initiation factor 4h
ZDB-GENE-010403-1,crx,cone-rod homeobox
ZDB-GENE-010406-1,anxa13,annexin A13
ZDB-GENE-010406-3,ncoa2,nuclear receptor coactivator 2
ZDB-GENE-010406-4,vipr2,vasoactive intestinal peptide receptor 2
ZDB-GENE-010406-5,dhfr,dihydrofolate reductase
ZDB-GENE-010413-1,ssr2,"signal sequence receptor, beta"
ZDB-GENE-010426-1,dmd,dystrophin
ZDB-GENE-010426-6,cry2,cryptochrome circadian regulator 2
